Ranking,State
1,california
3,connecticut
2,new Jersey
10,colorado
6,hawaii
4,illinois
8,maryland
7,massachusetts
5,new York
11,oregon
9,washington
13,delaware
12,rhode island
14,virginia
15,minnesota
16,pennsylvania
17,michigan
19,nevada
18,vermont
20,new mexico
21,wisconsin
23,nebraska
22,north carolina
24,florida
25,indiana
27,maine
28,new hampshire
25,ohio
28,south carolina
35,alabama
40,alaska
41,arizona
48,arkansas
33,georgia
46,idaho
34,iowa
42,kansas
47,kentucky
32,louisiana
44,mississippi
48,missouri
45,montana
35,north dakota
35,oklahoma
43,south dakota
39,tennessee
31,texas
30,utah
35,west virginia
50,wyoming
